TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63805940901579,3.5,2.1,0.0,0.0,1.5,--
63805940902581,3.4,1.9,0.0,0.0,1.5,--
63805940903593,3.6,2.1,0.0,0.0,1.5,--
63805940904585,3.6,2.1,0.0,0.0,1.5,--
63805940905588,3.4,1.9,0.0,0.0,1.5,--
63805940906602,3.2,1.8,0.0,0.0,1.5,--
63805940907616,3.3,1.8,0.0,0.0,1.5,--
63805940908640,3.5,2.0,0.0,0.0,1.5,--
63805940909656,3.2,1.7,0.0,0.0,1.5,--
63805940910649,3.2,1.7,0.0,0.0,1.5,--
63805940911662,3.3,1.8,0.0,0.0,1.5,--
63805940912676,3.2,1.8,0.0,0.0,1.5,--
63805940913687,3.5,2.1,0.0,0.0,1.5,--
63805940914692,3.3,1.8,0.0,0.0,1.5,--
63805940915700,3.5,2.0,0.0,0.0,1.5,--
63805940916701,3.6,2.2,0.0,0.0,1.5,--
63805940917703,3.8,2.3,0.0,0.0,1.5,--
63805940918694,3.5,2.0,0.0,0.0,1.5,--
63805940919715,3.7,2.2,0.0,0.0,1.5,--
63805940920714,3.3,1.8,0.0,0.0,1.5,--
63805940921730,3.8,2.3,0.0,0.0,1.5,--
63805940922738,3.5,2.0,0.0,0.0,1.5,--
63805940923745,3.5,2.0,0.0,0.0,1.5,--
63805940924762,3.6,2.2,0.0,0.0,1.5,--
63805940925760,3.3,1.8,0.0,0.0,1.5,--
63805940926773,3.2,1.7,0.0,0.0,1.5,--
63805940927779,3.3,1.8,0.0,0.0,1.5,--
63805940928768,3.4,1.9,0.0,0.0,1.5,--
63805940929780,3.3,1.8,0.0,0.0,1.5,--
63805940930792,3.2,1.7,0.0,0.0,1.5,--
63805940931789,3.3,1.8,0.0,0.0,1.5,--
63805940932796,3.3,1.8,0.0,0.0,1.5,--
63805940933794,3.3,1.8,0.0,0.0,1.5,--
63805940934798,3.2,1.7,0.0,0.0,1.5,--
63805940935806,3.3,1.8,0.0,0.0,1.5,--
63805940936818,3.3,1.8,0.0,0.0,1.5,--
63805940937822,3.3,1.9,0.0,0.0,1.5,--
