TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63801051332469.00,4.7,3.2,0,0,1.5,--
63801051333472.00,3,1.5,0,0,1.5,--
63801051334494.00,2.4,0.9,0,0,1.5,--
63801051335512.00,2.1,0.6,0,0,1.5,--
63801051336526.00,2.1,0.6,0,0,1.5,--
63801051337529.00,2.6,1.2,0,0,1.5,--
63801051338533.00,3.2,1.7,0,0,1.5,--
63801051339541.00,3.1,1.6,0,0,1.5,--
63801051340544.00,3.5,2,0,0,1.5,--
63801051341566.00,2.2,0.7,0,0,1.5,--
63801051342567.00,2.1,0.6,0,0,1.5,--
63801051343560.00,2.8,1.3,0,0,1.5,--
63801051344573.00,3.9,2.4,0,0,1.5,--
63801051345573.00,2.4,0.9,0,0,1.5,--
63801051346579.00,1.9,0.4,0,0,1.5,--
63801051347605.00,1.9,0.4,0,0,1.5,--
63801051348596.00,2.6,1.1,0,0,1.5,--
63801051349597.00,1.7,0.2,0,0,1.5,--
63801051350596.00,1.8,0.3,0,0,1.5,--
63801051351605.00,2.2,0.8,0,0,1.5,--
63801051352601.00,4.1,2.6,0,0,1.5,--
63801051353610.00,4.7,3.2,0,0,1.5,--
63801051354629.00,7.2,5.7,0,0,1.5,--
63801051355640.00,5.6,4.1,0,0,1.5,--
63801051356645.00,4.6,3.1,0,0,1.5,--
63801051357660.00,4,2.5,0,0,1.5,--
63801051358677.00,4.2,2.7,0,0,1.5,--
63801051359675.00,5.3,3.8,0,0,1.5,--
63801051360675.00,4.4,3,0,0,1.5,--
63801051361686.00,4.1,2.6,0,0,1.5,--
63801051362692.00,4.6,3.1,0,0,1.5,--
63801051363704.00,4.1,2.7,0,0,1.5,--
63801051364713.00,4.6,3.1,0,0,1.5,--
63801051365704.00,4.8,3.3,0,0,1.5,--
63801051366721.00,4.2,2.7,0,0,1.5,--
63801051367728.00,4.4,2.9,0,0,1.5,--
63801051368726.00,4.3,2.8,0,0,1.5,--
63801051369734.00,3.9,2.4,0,0,1.5,--
63801051370751.00,4.7,3.3,0,0,1.5,--
63801051371750.00,3.9,2.4,0,0,1.5,--
63801051372765.00,3.8,2.3,0,0,1.5,--
63801051373781.00,3.7,2.2,0,0,1.5,--
63801051374798.00,3.8,2.3,0,0,1.5,--
63801051375813.00,4.8,3.3,0,0,1.5,--
63801051376828.00,3.9,2.4,0,0,1.5,--
63801051377853.00,4,2.5,0,0,1.5,--
63801051378844.00,4.3,2.8,0,0,1.5,--
63801051379861.00,3.9,2.5,0,0,1.5,--
63801051380875.00,4.8,3.3,0,0,1.5,--
63801051381874.00,3.8,2.3,0,0,1.5,--
63801051382886.00,5.1,3.6,0,0,1.5,--
