TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63805888910700,2.0,0.5,0.0,0.0,1.5,--
63805888911704,2.4,0.9,0.0,0.0,1.5,--
63805888912690,2.1,0.7,0.0,0.0,1.5,--
63805888913705,2.3,0.8,0.0,0.0,1.5,--
63805888914714,3.3,1.8,0.0,0.0,1.5,--
63805888915708,2.2,0.7,0.0,0.0,1.5,--
63805888916727,2.2,0.7,0.0,0.0,1.5,--
63805888917735,2.5,1.0,0.0,0.0,1.5,--
63805888918746,2.1,0.6,0.0,0.0,1.5,--
63805888919744,3.2,1.8,0.0,0.0,1.5,--
63805888920750,2.3,0.8,0.0,0.0,1.5,--
63805888921741,2.8,1.3,0.0,0.0,1.5,--
63805888922743,1.9,0.4,0.0,0.0,1.5,--
63805888923745,1.9,0.4,0.0,0.0,1.5,--
63805888924737,3.1,1.7,0.0,0.0,1.5,--
63805888925743,2.1,0.7,0.0,0.0,1.5,--
63805888926742,1.9,0.4,0.0,0.0,1.5,--
63805888927753,2.1,0.7,0.0,0.0,1.5,--
63805888928759,2.3,0.8,0.0,0.0,1.5,--
63805888929759,2.9,1.4,0.0,0.0,1.5,--
63805888930762,2.3,0.9,0.0,0.0,1.5,--
63805888931773,1.8,0.3,0.0,0.0,1.5,--
63805888932790,1.8,0.3,0.0,0.0,1.5,--
63805888933796,1.7,0.2,0.0,0.0,1.5,--
63805888934806,2.4,0.9,0.0,0.0,1.5,--
63805888935821,1.9,0.4,0.0,0.0,1.5,--
63805888936819,2.1,0.7,0.0,0.0,1.5,--
63805888937832,2.5,1.0,0.0,0.0,1.5,--
63805888938846,2.6,1.1,0.0,0.0,1.5,--
63805888939863,3.2,1.7,0.0,0.0,1.5,--
63805888940876,3.0,1.5,0.0,0.0,1.5,--
63805888941908,2.5,1.0,0.0,0.0,1.5,--
63805888942926,2.2,0.8,0.0,0.0,1.5,--
63805888943936,2.3,0.8,0.0,0.0,1.5,--
63805888944953,2.7,1.2,0.0,0.0,1.5,--
63805888945964,2.2,0.7,0.0,0.0,1.5,--
63805888946987,2.2,0.7,0.0,0.0,1.5,--
63805888947993,2.1,0.6,0.0,0.0,1.5,--
